time,control_1,control_2,control_3,2DG(10mM)_1,2DG(10mM)_2,2DG(10mM)_3,2DG(20mM)_1,2DG(20mM)_2,2DG(20mM)_3,Az(1mM)_1,Az(1mM)_2,Az(1mM)_3
0,12650876,52265527,12219713,3889895,13597398,2841806,2441687,8931439,1852934,11281897,42686142,10119575
5,14531774,57311550,13574426,4317743,14730731,3109612,2516592,9516779,1942270,11612881,43612755,10955710
10,14306708,56795030,13471458,4318228,14885110,3110198,2531714,9710356,1959125,11598585,43893070,11368071
15,14329081,57085675,13516736,4415889,15298898,3195893,2599269,10073695,2030199,11762107,44590362,11584662
20,14465909,57694979,13554077,4557681,15765496,3262039,2683340,10438316,2084741,11958955,44745472,11691276
25,14475569,57283007,13466478,4658261,16127601,3320783,2794046,10720041,2136406,12073280,45336537,11760734
30,14366845,56742832,13314917,4752650,16265504,3337306,2883678,10873845,2163463,12120820,45400010,11764863
35,14159072,55867563,13080402,4793465,16372371,3327557,2898885,10979626,2184656,12089151,45329826,11707828
40,13869614,54668219,12775752,4816149,16276485,3299908,2890492,11071519,2172920,11934973,45099851,11624250
45,13486293,53369359,12399800,4805625,16123978,3268835,2889434,11059005,2161605,11872497,44395737,11432978
50,13040870,51746131,11991919,4750912,15793022,3210481,2864066,10941014,2145195,11640417,43785023,11236637
55,12539961,49937367,11534180,4681579,15506515,3125442,2844113,10822623,2107722,11359276,42462359,10989913
60,11985313,47744680,11045037,4581015,15122228,3032893,2823047,10637633,2065886,11040255,41263305,10713075
65,11401449,45768970,10540532,4475587,14601109,2935372,2775351,10341567,2016157,10672027,40527881,10398022
70,10791623,43582218,10003638,4345932,14060463,2818693,2722890,10079439,1953409,10327443,39211361,10039729
75,10170713,41388864,9486858,4211758,13494001,2708985,2648046,9748233,1894836,9912939,37774418,9686989
80,9559283,38923646,8959176,4062959,12996244,2598041,2577323,9423498,1824179,9400328,36192343,9302255
85,8955886,36810570,8442716,3913074,12348125,2473729,2487700,9039369,1753135,9010324,34708940,8911853
90,8367885,34696442,7941910,3748534,11748205,2353992,2415205,8656912,1680037,8526017,33093859,8520620
95,7793370,32523351,7458839,3587150,11203630,2236017,2329449,8253025,1606347,8060703,31496853,8129145
100,7262093,30489623,7000107,3418857,10552850,2118066,2236722,7845548,1534356,7641253,29953792,7730577
105,6746083,28510620,6552754,3257775,9991574,2004546,2173514,7491569,1460467,7167193,28385281,7336501
110,6262076,26635384,6127545,3099803,9478258,1896853,2053519,7127083,1384969,6741763,26842663,6966179
115,5811102,24820339,5724558,2952244,8968946,1783297,1968213,6740155,1313559,6318599,25364785,6580314
120,5379030,23079460,5337829,2792118,8454644,1690842,1901652,6353782,1245356,5920699,23918043,6225050
125,4979104,21441026,4980844,2645517,7915471,1598662,1803532,5980443,1184417,5532618,22525841,5905610
130,4600814,19895050,4627262,2505124,7482983,1497199,1716059,5700816,1121614,5150080,21162011,5559473
135,4255989,18410949,4314443,2366389,7030324,1417971,1637942,5360640,1061738,4831586,19874487,5254327
140,3922014,17038928,4012312,2238021,6606482,1337563,1565793,5043818,1005284,4506679,18686790,4962704
145,3617416,15738873,3728143,2111376,6179228,1262866,1492005,4752029,952366,4193442,17485510,4677964
150,3339158,14540892,3454872,1997049,5801601,1186666,1435610,4480155,902263,3912747,16379440,4412370
155,3072855,13404885,3204766,1883101,5470707,1117800,1352429,4228992,849132,3638722,15332805,4156281
160,2832509,12341926,2963723,1778671,5124847,1046771,1313789,3969244,800217,3387977,14400699,3922006
165,2605862,11358289,2738846,1675693,4799354,985491,1256500,3742744,755692,3150363,13433103,3672479
170,2397720,10425204,2525313,1579368,4511558,927817,1183927,3515500,713790,2928804,12530075,3470943
175,2206895,9578808,2329564,1489304,4224154,872883,1132195,3319225,672281,2721347,11697530,3254413
180,2030358,8788030,2150144,1404072,3944648,822401,1079389,3122032,637566,2525237,10908876,3058839
185,1866443,8063154,1985027,1332484,3707914,772213,1021368,2936009,598528,2345149,10181303,2868698
190,1726047,7386570,1826541,1254303,3473194,728115,956840,2759408,565653,2176818,9483584,2694201
195,1588174,6760138,1685556,1179731,3250135,680943,912802,2586087,532760,2020349,8825281,2537565
200,1463309,6168524,1553506,1113247,3022047,642939,866683,2424054,503765,1872081,8211052,2382400
205,1344635,5639613,1427562,1050966,2829010,602722,822929,2273851,473737,1737683,7595105,2229623
