cont(F)_1_filtered,cont(N)_1_filtered,cont(F)_2_filtered,cont(N)_2_filtered,cont(F)_3_filtered,cont(N)_3_filtered
-1.045,-1.086,-1.072,-1.039,-0.813,-1.061
-0.879,-0.95,-0.894,-0.918,-0.661,-0.959
-0.781,-0.821,-0.769,-0.808,-0.593,-0.871
-0.711,-0.724,-0.719,-0.737,-0.612,-0.804
-0.687,-0.659,-0.704,-0.691,-0.702,-0.761
-0.688,-0.622,-0.728,-0.673,-0.786,-0.733
-0.689,-0.601,-0.732,-0.654,-0.838,-0.71
-0.694,-0.582,-0.732,-0.643,-0.872,-0.692
-0.691,-0.572,-0.719,-0.624,-0.873,-0.668
-0.695,-0.561,-0.706,-0.613,-0.869,-0.648
-0.696,-0.553,-0.703,-0.605,-0.856,-0.627
-0.695,-0.547,-0.694,-0.594,-0.844,-0.61
-0.688,-0.535,-0.675,-0.586,-0.829,-0.593
-0.676,-0.526,-0.659,-0.57,-0.806,-0.573
-0.652,-0.511,-0.629,-0.555,-0.776,-0.555
-0.627,-0.492,-0.59,-0.528,-0.74,-0.531
-0.591,-0.465,-0.552,-0.504,-0.697,-0.504
-0.546,-0.44,-0.493,-0.464,-0.643,-0.471
-0.499,-0.404,-0.434,-0.422,-0.584,-0.434
-0.438,-0.36,-0.371,-0.368,-0.509,-0.39
-0.374,-0.312,-0.297,-0.312,-0.432,-0.338
-0.303,-0.254,-0.222,-0.248,-0.347,-0.284
-0.227,-0.203,-0.142,-0.175,-0.26,-0.224
-0.155,-0.128,-0.064,-0.099,-0.172,-0.157
-0.066,-0.061,0.027,-0.021,-0.074,-0.087
0.015,0.015,0.107,0.062,0.024,-0.017
0.098,0.096,0.189,0.148,0.117,0.059
0.18,0.168,0.269,0.228,0.203,0.135
0.26,0.243,0.35,0.311,0.3,0.213
0.336,0.326,0.421,0.388,0.394,0.289
0.416,0.4,0.494,0.469,0.479,0.363
0.489,0.476,0.565,0.55,0.571,0.44
0.564,0.543,0.629,0.62,0.642,0.512
0.628,0.611,0.684,0.683,0.714,0.576
0.694,0.672,0.743,0.751,0.794,0.641
0.751,0.729,0.791,0.802,0.857,0.704
0.795,0.779,0.833,0.849,0.913,0.758
0.851,0.83,0.866,0.89,0.964,0.805
0.893,0.866,0.899,0.925,1.016,0.85
0.912,0.895,0.919,0.954,1.055,0.889
0.936,0.924,0.94,0.969,1.076,0.915
0.951,0.932,0.951,0.982,1.101,0.934
0.968,0.937,0.946,0.983,1.112,0.947
0.977,0.942,0.939,0.974,1.109,0.958
0.97,0.931,0.929,0.964,1.125,0.968
0.963,0.927,0.91,0.935,1.103,0.967
0.959,0.9,0.889,0.906,1.083,0.946
0.931,0.878,0.862,0.876,1.058,0.933
0.897,0.839,0.835,0.838,1.03,0.902
0.875,0.806,0.799,0.797,0.997,0.871
0.845,0.761,0.765,0.747,0.956,0.842
0.805,0.72,0.72,0.7,0.913,0.803
0.752,0.671,0.679,0.643,0.863,0.76
0.705,0.614,0.625,0.587,0.807,0.71
0.657,0.557,0.582,0.533,0.752,0.665
0.615,0.504,0.534,0.473,0.694,0.608
0.564,0.451,0.474,0.409,0.637,0.555
0.5,0.374,0.418,0.348,0.574,0.493
0.453,0.325,0.365,0.281,0.516,0.433
0.4,0.264,0.307,0.217,0.444,0.374
0.339,0.207,0.257,0.16,0.379,0.312
0.281,0.151,0.197,0.09,0.31,0.252
0.221,0.086,0.14,0.03,0.24,0.192
0.17,0.031,0.08,-0.03,0.176,0.129
0.091,-0.03,0.021,-0.084,0.114,0.067
0.047,-0.088,-0.027,-0.138,0.042,0.008
-0.017,-0.141,-0.084,-0.195,-0.016,-0.045
-0.075,-0.191,-0.14,-0.247,-0.082,-0.106
-0.129,-0.249,-0.198,-0.3,-0.145,-0.158
-0.19,-0.297,-0.244,-0.345,-0.212,-0.215
-0.237,-0.34,-0.291,-0.388,-0.265,-0.266
-0.287,-0.389,-0.339,-0.433,-0.327,-0.319
-0.339,-0.432,-0.389,-0.475,-0.381,-0.369
-0.384,-0.467,-0.432,-0.515,-0.434,-0.416
-0.437,-0.51,-0.479,-0.548,-0.481,-0.46
-0.477,-0.546,-0.508,-0.581,-0.53,-0.496
-0.511,-0.575,-0.543,-0.607,-0.571,-0.536
-0.554,-0.604,-0.583,-0.636,-0.61,-0.571
