cont(F)_1_filtered,cont(N)_1_filtered,cont(F)_2_filtered,cont(N)_2_filtered,cont(F)_3_filtered,cont(N)_3_filtered
-1.095,-1.21,-0.62,-1.171,-0.923,-1.196
-0.716,-1.01,-0.56,-1.043,-0.805,-1.037
-0.549,-0.834,-0.491,-0.934,-0.79,-0.9
-0.506,-0.711,-0.572,-0.857,-0.829,-0.81
-0.548,-0.654,-0.689,-0.806,-0.848,-0.748
-0.599,-0.626,-0.793,-0.769,-0.882,-0.711
-0.646,-0.605,-0.859,-0.742,-0.891,-0.677
-0.677,-0.586,-0.886,-0.71,-0.898,-0.649
-0.686,-0.577,-0.899,-0.677,-0.901,-0.615
-0.681,-0.557,-0.9,-0.646,-0.892,-0.588
-0.684,-0.534,-0.892,-0.61,-0.876,-0.556
-0.68,-0.516,-0.879,-0.574,-0.856,-0.519
-0.669,-0.486,-0.857,-0.532,-0.839,-0.479
-0.658,-0.454,-0.83,-0.486,-0.805,-0.432
-0.628,-0.416,-0.794,-0.432,-0.767,-0.375
-0.609,-0.365,-0.746,-0.374,-0.715,-0.316
-0.568,-0.307,-0.696,-0.307,-0.658,-0.244
-0.528,-0.246,-0.627,-0.241,-0.589,-0.171
-0.475,-0.177,-0.556,-0.165,-0.505,-0.089
-0.413,-0.107,-0.486,-0.088,-0.419,-0.003
-0.35,-0.029,-0.396,-0.011,-0.323,0.084
-0.282,0.047,-0.303,0.072,-0.227,0.166
-0.214,0.123,-0.211,0.15,-0.124,0.25
-0.142,0.196,-0.11,0.229,-0.031,0.33
-0.055,0.265,-0.017,0.303,0.09,0.422
0.024,0.34,0.081,0.378,0.19,0.495
0.092,0.411,0.178,0.449,0.298,0.564
0.177,0.466,0.274,0.512,0.391,0.624
0.262,0.536,0.36,0.574,0.489,0.678
0.321,0.594,0.464,0.628,0.552,0.705
0.398,0.635,0.537,0.686,0.645,0.759
0.475,0.689,0.619,0.729,0.736,0.794
0.544,0.724,0.702,0.768,0.792,0.821
0.599,0.765,0.771,0.805,0.839,0.81
0.66,0.789,0.839,0.829,0.902,0.815
0.718,0.815,0.9,0.847,0.958,0.828
0.759,0.819,0.95,0.862,0.983,0.811
0.804,0.827,0.985,0.862,1.027,0.803
0.843,0.83,1.024,0.861,1.042,0.784
0.87,0.82,1.056,0.845,1.076,0.766
0.903,0.802,1.084,0.831,1.076,0.729
0.92,0.777,1.085,0.803,1.08,0.691
0.927,0.746,1.096,0.772,1.077,0.653
0.932,0.714,1.092,0.741,1.071,0.616
0.931,0.664,1.082,0.697,1.051,0.565
0.923,0.622,1.054,0.649,1.028,0.518
0.908,0.577,1.027,0.597,1.006,0.464
0.895,0.527,1.012,0.549,0.97,0.417
