time,cont_1,cont_2,cont_3,2DG_1,2DG_2,2DG_3,Azide_1,Azide_2,Azide_3,hcontrol_1,hcontrol_2,hcontrol_3
0,-200.4,5,102.4,-231,-241.6,-155.6,-126.2,26.4,15.6,-158.8,-457.2,-102
2,-385.4,56,326.4,-272,-23.6,44.4,-319.2,9.4,73.6,7.2,-330.2,-38
4,-112.4,191,345.4,-255,-16.6,220.4,-207.2,156.4,247.6,-12.8,-61.2,-12
6,-31.4,259,435.4,-422,160.4,393.4,92.8,237.4,479.6,254.2,11.8,-33
8,1286.6,651,1471.4,-49,92.4,270.4,147.8,750.4,1352.6,-95.8,188.8,23
10,5046.6,2467,6050.4,-31,449.4,514.4,1111.8,2504.4,4411.6,421.2,1115.8,356
12,14345.6,6637,17246.4,567,1094.4,1748.4,4691.8,6073.4,11629.6,2443.2,4228.8,1024
14,31304.6,14900,38731.4,1362,2165.4,3905.4,11483.8,12726.4,24944.6,5836.2,12400.8,3050
16,56236.6,28254,73792.4,3467,4333.4,8125.4,23918.8,23651.4,47041.6,13589.2,28522.8,6886
18,93060.6,47495,126268.4,6571,7388.4,14596.4,42997.8,39377.4,78854.6,26099.2,56729.8,13418
20,141590.6,74129,198832.4,10880,12005.4,24195.4,69792.8,60281.4,121069.6,46006.2,99213.8,23288
22,202801.6,107170,290015.4,17297,17774.4,36274.4,103885.8,87266.4,174515.6,73792.2,160304.8,37807
24,275202.6,149882,401123.4,25551,25780.4,51965.4,147188.8,119285.4,240120.6,111298.2,241910.8,56430
26,359569.6,198345,531265.4,36014,34778.4,70689.4,200013.8,158908.4,315136.6,160682.2,347352.8,80889
28,453311.6,256669,681321.4,47384,45399.4,93321.4,258405.8,202945.4,400991.6,221571.2,478293.8,110694
30,563817.6,323320,844695.4,61882,58247.4,118580.4,327430.8,254028.4,496495.6,294349.2,637479.8,148206
32,675806.6,396215,1027124.4,77505,72877.4,147080.4,400874.8,310018.4,600291.6,382135.2,823529.8,190684
34,802840.6,478735,1221702.4,96125,89856.4,179388.4,483918.8,371789.4,714130.6,480713.2,1037613.8,240345
36,931589.6,564672,1426970.4,115378,107899.4,214012.4,570913.8,436510.4,831391.6,593378.2,1284491.8,299587
38,1066616.6,656988,1641573.4,137966,128369.4,253853.4,662017.8,505906.4,955402.6,722402.2,1561339.8,360462
40,1214061.6,751549,1863347.4,162870,149484.4,295292.4,757737.8,576522.4,1083741.6,858962.2,1861365.8,432030
42,1352746.6,850745,2086016.4,190598,172764.4,339085.4,858776.8,651494.4,1213945.6,1012000.2,2192851.8,508521
44,1497408.6,949486,2316217.4,215833,197088.4,386312.4,958354.8,727395.4,1347794.6,1177737.2,2547666.8,591968
46,1648608.6,1051020,2543283.4,246440,223590.4,434899.4,1063211.8,802248.4,1485370.6,1353997.2,2930486.8,683034
48,1791519.6,1154966,2769270.4,277511,251312.4,485288.4,1169718.8,877679.4,1620486.6,1540681.2,3334107.8,775917
50,1934349.6,1252762,2992870.4,308365,279591.4,537829.4,1270270.8,953067.4,1748805.6,1732587.2,3759386.8,875819
52,2074676.6,1351290,3203007.4,343414,307332.4,590819.4,1373751.8,1030790.4,1881054.6,1938936.2,4195758.8,980611
54,2211046.6,1448233,3414747.4,376211,337328.4,644043.4,1479636.8,1102456.4,2005444.6,2146115.2,4651037.8,1087063
56,2342941.6,1539426,3606714.4,408343,366405.4,697882.4,1576037.8,1174720.4,2129846.6,2369527.2,5121269.8,1196638
58,2467058.6,1625310,3802311.4,441436,396357.4,749929.4,1678255.8,1243327.4,2246504.6,2592278.2,5600906.8,1314339
60,2586119.6,1713033,3977107.4,477822,426554.4,801306.4,1770282.8,1312214.4,2360942.6,2820711.2,6094681.8,1429543
62,2702272.6,1791487,4146013.4,510539,455804.4,853954.4,1864561.8,1372650.4,2469211.6,3049684.2,6572222.8,1549571
64,2810037.6,1870045,4307676.4,544462,486026.4,905217.4,1952745.8,1435172.4,2573520.6,3282645.2,7065933.8,1667875
66,2916138.6,1941328,4460100.4,578109,513408.4,953596.4,2034511.8,1494700.4,2666960.6,3507333.2,7553893.8,1789367
68,3007177.6,2014438,4597461.4,609026,540796.4,1001117.4,2115280.8,1550101.4,2760109.6,3746423.2,8055184.8,1909905
70,3099612.6,2075419,4720742.4,643361,566888.4,1050546.4,2189113.8,1601795.4,2844725.6,3978714.2,8537971.8,2031163
72,3180789.6,2134634,4850640.4,672557,593203.4,1093221.4,2260936.8,1646071.4,2920194.6,4211647.2,9015953.8,2148449
74,3278436.6,2188991,4954446.4,704807,617436.4,1138750.4,2327683.8,1691266.4,2991247.6,4448910.2,9497572.8,2269071
76,3345333.6,2245840,5057653.4,734165,641815.4,1179999.4,2387509.8,1731600.4,3057060.6,4674723.2,9962942.8,2386945
78,3419699.6,2290056,5152901.4,762142,665298.4,1219619.4,2442271.8,1770906.4,3121480.6,4900225.2,10420468.8,2502360
80,3468175.6,2333884,5243317.4,790651,686946.4,1259366.4,2501279.8,1806262.4,3176049.6,5123384.2,10868588.8,2615393
82,3538646.6,2377956,5338172.4,815416,708820.4,1294635.4,2544110.8,1838807.4,3228456.6,5347957.2,11320192.8,2724651
